"id","log","lat"
"Polygon_3",-110.30803,24.34092
"Polygon_3",-110.31193,24.3389
"Polygon_3",-110.31608,24.33829
"Polygon_3",-110.32305,24.33758
"Polygon_3",-110.32916,24.33531
"Polygon_3",-110.3303,24.3336
"Polygon_3",-110.33186,24.33174
"Polygon_3",-110.33516,24.32974
"Polygon_3",-110.333,24.32189
"Polygon_3",-110.32832,24.31954
"Polygon_3",-110.32993,24.31632
"Polygon_3",-110.33348,24.31925
"Polygon_3",-110.33663,24.3179
"Polygon_3",-110.33906,24.31989
"Polygon_3",-110.34216,24.31697
"Polygon_3",-110.34045,24.31269
"Polygon_3",-110.33891,24.31243
"Polygon_3",-110.33883,24.30761
"Polygon_3",-110.33999,24.30379
"Polygon_3",-110.33971,24.29797
"Polygon_3",-110.3382,24.29928
"Polygon_3",-110.33916,24.29337
"Polygon_3",-110.33638,24.289
"Polygon_3",-110.33616,24.28685
"Polygon_3",-110.33622,24.28218
"Polygon_3",-110.33848,24.2778
"Polygon_3",-110.33961,24.27327
"Polygon_3",-110.34006,24.26874
"Polygon_3",-110.33823,24.26356
"Polygon_3",-110.33868,24.25878
"Polygon_3",-110.33536,24.25463
"Polygon_3",-110.32953,24.25661
"Polygon_3",-110.33002,24.25974
"Polygon_3",-110.33162,24.26177
"Polygon_3",-110.33152,24.2673
"Polygon_3",-110.32834,24.27083
"Polygon_3",-110.32545,24.26486
"Polygon_3",-110.32654,24.25761
"Polygon_3",-110.32151,24.25596
"Polygon_3",-110.32245,24.25389
"Polygon_3",-110.3298,24.24382
"Polygon_3",-110.31842,24.24214
"Polygon_3",-110.31695,24.24034
"Polygon_3",-110.31022,24.23362
"Polygon_3",-110.31427,24.23082
"Polygon_3",-110.31552,24.2174
"Polygon_3",-110.30462,24.21372
"Polygon_3",-110.30582,24.19445
"Polygon_3",-110.30823,24.17753
"Polygon_3",-110.31373,24.17062
"Polygon_3",-110.31993,24.16621
"Polygon_3",-110.32373,24.16927
"Polygon_3",-110.32345,24.17696
"Polygon_3",-110.32564,24.18014
"Polygon_3",-110.32829,24.18022
"Polygon_3",-110.33977,24.17976
"Polygon_3",-110.35449,24.17717
"Polygon_3",-110.37638,24.17574
"Polygon_3",-110.40094,24.17727
"Polygon_3",-110.41228,24.17909
"Polygon_3",-110.43941,24.1831
"Polygon_3",-110.46346,24.18804
"Polygon_3",-110.49543,24.19468
"Polygon_3",-110.524,24.2021
"Polygon_3",-110.53059,24.20515
"Polygon_3",-110.55074,24.21007
"Polygon_3",-110.56197,24.21749
"Polygon_3",-110.56225,24.22464
"Polygon_3",-110.57448,24.22767
"Polygon_3",-110.57427,24.23358
"Polygon_3",-110.57775,24.24137
"Polygon_3",-110.58315,24.24564
"Polygon_3",-110.59455,24.25053
"Polygon_3",-110.59539,24.25563
"Polygon_3",-110.6084,24.25768
"Polygon_3",-110.6114,24.26273
"Polygon_3",-110.60849,24.26781
"Polygon_3",-110.60931,24.27475
"Polygon_3",-110.61339,24.27638
"Polygon_3",-110.61984,24.27712
"Polygon_3",-110.62036,24.28204
"Polygon_3",-110.63481,24.30378
"Polygon_3",-110.63552,24.31941
"Polygon_3",-110.64799,24.32562
"Polygon_3",-110.65885,24.3393
